Semaine N° :   9            Semaine :     Lun. 28 Fév. 2022 - Dim. 06 Mar. 2022;;;;;;;;;
Garde du :     Lun. 28 Fév. 2022 à 8h - Mar. 01 Mar. 2022 à 8h                                                                                                                        Semaine N° :   9;;;;;;;;;
Zone;GP;Pharmacie;;Localisation;;Téléphone 1;Téléphone 2;Téléphone 3;
ZONE 1;1N;BIEN ETRE, du;;ELIG ESSONO (face HÔTEL GRAND MOULIN);;222 20 25 19;675 46 44 17 /;;
ZONE 2;2C;ECOLE de POLICE;;ECOLE DE POLICE;;222 03 63 25;699 97 68 79 /;;
ZONE 2;2C;GRANDE PHARMACIE DES LUMIERES;;ROND-POINT NLONGKAK;;222 20 58 55;;;
ZONE 2;2C;TSINGA, de;;face PMI TSINGA;;699 55 01 55;;;
ZONE 3;3D;MONTESQUIEU;;COLLEGE MONTESQUIEU - MVOG ADA;;222 22 50 26;;;
ZONE 4;4B;BON BERGER, le;;"NOUVELLE ROUTE OMNISPORTS - Rue
FOE";;242 60 67 77;6 99 98 51 68;691 24 86 07;
ZONE 4;4B;CHAPELLE, de la;;CHAPELLE NGOUSSO;;222 21 33 21;;;
ZONE 5;5D;CODEX;;AHALA 1, Entrée PHARMACAM;;242 07 59 88;;;
ZONE 6;6D;MONGALE;;Carrefour CARRIERE;;653 04 36 36;658 73 35 75;;
ZONE 6;6D;GLOIRE;;"300m après USINE DES EAUX,
NKOLBISSON";;691 11 59 91;;;
ZONE 7;7B;LAC, du;;MINISTERE de l'EQUIPEMENT;;222 22 20 80;;;
ZONE 8;8C;GET BETTER;;Carrefour du CENTRE DES HANDICAPES - ETOUG EBE;;655 33 16 36 /;;;
ZONE 9;9D;ELITE;;Carrefour GP – MVOG-BETSI;;222 31 65 25;670 12 67 26;;
ZONE 10;10D;WORLD PHARMACY;;CAMP SIC NLONGKAK;;670 11 60 14;693 96 42 34;;
ZONE 11;11D;MANGUIERS, des;;Rue DES MANGUIERS;;242 06 04 09;;;
ZONE 12;12D;EKOUNOU;;LABOGENIE EKOUNOU;;222 30 67 78;;;
ZONE 12;12D;HELIANA'S PHY;;ELDORADO NKOMO (face TOTAL NKOMO);;695 46 94 08;671 82 97 17;;
ZONE 13;13D;MINDILI;;Carrefour de L'AMITIE;;222 30 22 80;;;
ZONE 13;13D;MATURITE;;NEPTUNE _ ODZA;;655 44 91 48;672 31 10 98;;
Semaine N° :   18          Semaine :     Lun. 02 Mai 2022 - Dim. 08 Mai 2022;;;;;;;;;
Garde du :     Lun. 02 Mai 2022 à 8h - Mar. 03 Mai 2022 à 8h                                                                                                                           Semaine N° :   18;;;;;;;;;
Zone;GP;Pharmacie;;Localisation;;Téléphone 1;Téléphone 2;Téléphone 3;
ZONE 1;1P;XAVYO;;MESS DES OFFICIERS;;222 23 63 40;;;
ZONE 2;2.1B;2000;;NOUVLLE ROUTE BASTOS;;222 23 95 94;;;
ZONE 3;3J;CHATEAU DE MIMBOMAN, du;;CHAPELLE D'EMOMBO;;242 06 22 98;;;
ZONE 4;4D;CITE, de la;;TITI GARAGE - A COTE DU QUEBEC;;222 21 83 16;675 55 87 87;;
ZONE 4;4D;ROSEE, la;;Carrefour TRADEX ELEVEURS;;242 15 60 16;;;
ZONE 5;5J;ESSELE;;Carrefour DAMASE, face DEPÔT DE BOIS;;691 98 27 60;;;
ZONE 6;6D;MONGALE;;Carrefour CARRIERE;;653 04 36 36;658 73 35 75;;
ZONE 6;6D;GLOIRE;;300m après USINE DES EAUX, NKOLBISSON;;691 11 59 91;;;
ZONE 7;7J;UNIVERSITE, de l';;Carrefour CETIC NGOA EKELE;;222 22 68 55;;;
ZONE 8;8.1E;ETOILE, de l';;Montée MAISONS BLANCHES;;655 14 56 59;222 31 49 62;;
ZONE 9;9J;VOLUNTAS DEI;;BIYEM-ASSI LAC;;675 77 46 65;673 23 13 54;;
ZONE 10;10B;CENTRE MESSASSI (Ydé), du;;Carrefour MESSASSI;;222 21 81 72;243 22 80 53;;
ZONE 11;11C;ETOUDI, d';;Face FOKOU ETOUDI;;242 03 50 51;;;
ZONE 12;12D;EKOUNOU;;LABOGENIE EKOUNOU;;222 30 67 78;;;
ZONE 12;12D;HELIANA'S PHY;;ELDORADO NKOMO (face TOTAL NKOMO);;695 46 94 08;671 82 97 17;;
ZONE 13;13E;CYGNE ODZA, le;;face TOTAL BORNE 10 - ODZA;;222 30 13 76;657 35 88 25;;
ZONE 13;13E;EKOUMDOUM;;HAPPY EKOUMDOUM;;650 85 30 31;620 02 44 92;;
"Nombre de pharmacies :              17
Garde du :     Mar. 03 Mai 2022 à 8h - Mer. 04 Mai 2022 à 8h                                                                                                                           Semaine N° :   18";;;;;;;;;
Zone;GP;Pharmacie;;Localisation;;Téléphone 1;Téléphone 2;Téléphone 3;
ZONE 1;1O;MARCHE, du (Yaoundé);;MARCHE CENTRAL;;242 01 50 46;690 30 75 88;;
ZONE 2;2.3B;VERSET, du;;DERRIERE CINEMA REX;;222 20 95 07;;;
ZONE 3;3I;GENEVOISE;;Nvlle Rte MIMBOMAN, Carrefour MVOG-ENYEGUE;;679 69 27 80;657 83 10 64;;
ZONE 4;4E;COLOMBE;;TEXACO OMNISPORT;;222 21 55 30;699 10 43 73;654 83 64 71;
ZONE 4;4E;LYCEE BILINGUE, du;;Carrefour HÔTEL DU PLATEAU;;222 22 98 37;242 72 22 03;;
ZONE 5;5I;CAPUCINES, des;;SIANTOU SUPERIEUR;;242 66 63 05;;;
ZONE 6;6C;PROVIDENCE, de la;;SAPEUR POMPIER MOKOLO;;222 23 11 54;;;
ZONE 6;6C;CYPRES, du;;2ième Carrefour NKOLBISSON;;242 06 47 59;;;
ZONE 7;7K;SAINT ANDRÉ CHATEAU;;Montée PARC _ face MATGENIE NKOLBIKOK PARC;;671 93 66 78;655 56 54 81;;
ZONE 8;8.2F;BEATO MEMASO;;Lycée d'ETOUG-EBE _ Montée SCIENCE;;222 31 57 52;;;
ZONE 9;9I;MELEN 8;;Carrefour BIYEM-ASSI;;222 31 68 63;242 08 31 89;;
ZONE 10;10A;BRUXELLOISE;;après la station TRADEX EMANA;;242 17 38 63;651 30 10 53;;
ZONE 11;11B;BLEUE PLUS;;face HOPITAL GENERAL;;222 21 14 92;;;
ZONE 12;12C;THERIAQUE;;A côté SOUS-PREFECTURE NKONDENGUI;;222 30 63 25;679 68 05 11;;
ZONE 12;12C;SANTE & VIE;;face GP BITENG;;682 24 74 78;;;
ZONE 13;13A;ODZA, d';;Carrefour MBOG-ABANG;;691 86 77 72;;;
Garde du :     Mer. 04 Mai 2022 à 8h - Jeu. 05 Mai 2022 à 8h                                                                                                                           Semaine N° :   18;;;;;;;;;
Zone;GP;Pharmacie;;Localisation;;Téléphone 1;Téléphone 2;Téléphone 3;
ZONE 1;1C;SION;;TEXACO MARCHE CENTRAL;;222 22 20 21;;;
ZONE 2;2.2B;NATIONS, des;;BATA - NLONGKAK;;651 25 59 94;690 02 78 70;;
ZONE 3;3H;ARCHE, de l';;Descente PAQUITA, vers CORNIER;;243 68 29 85;;;
ZONE 4;4F;ELIG-EDZOA, d';;face CASSE ELIG EDZOA;;677 71 81 27;;;
ZONE 4;4F;STADE, du;;STADE OMNISPORT;;222 20 67 10;;;
ZONE 5;5H;SIFA;;face CHAPELLE MVOG-MBI;;691 80 47 28;675 67 56 10;;
ZONE 6;6B;MOLIVA;;MOBIL (OIL LYBIA) MADAGASCAR;;222 23 00 82;;;
ZONE 6;6B;BLED, du;;Carrefour CARAMBA - NKOLBISSON;;674 43 15 22;;;
ZONE 7;7L;VIE, de la;;face FOKOU MOKOLO;;222 22 67 87;;;
ZONE 8;8.1A;JERUSALEM;;Carrefour TKC - ETOUG-EBE;;222 31 01 09;698 29 47 88;;
ZONE 9;9H;NSIMEYONG;;Chapelle NSIMEYONG;;222 31 42 61;694 01 12 46;;
ZONE 10;10H;EMANA, d';;face SUPER MARCHE SOCROPOLE - EMANA;;222 21 42 94;;;
ZONE 11;11A;BAYARD;;FABRIQUE NGOUSSO;;670 11 54 36;;;
ZONE 12;12B;PERSEVERANCE, la;;AWAE ESCALIER;;243 84 41 35;243 84 67 75;;
ZONE 12;12B;SAINT VICTOR ESSOMBA;;MOSQUEE ESSOMBA;;672 87 87 33;;;
ZONE 13;13B;GOD'S GLORY PHARMACY Sarl;;Entrée KOWEIT CITY - ODZA;;242 15 89 55;243 23 05 31;;
ZONE 13;13B;MINKAN, de;;"MINKAN entrée par Carrefour TERMINUS
ODZA";;673 49 07 17;697 24 77 75;;
"Nombre de pharmacies :              17
Garde du :     Jeu. 05 Mai 2022 à 8h - Ven. 06 Mai 2022 à 8h                                                                                                                           Semaine N° :   18";;;;;;;;;
Zone;GP;Pharmacie;;Localisation;;Téléphone 1;Téléphone 2;Téléphone 3;
ZONE 1;1A;URBAINE;;Montée ANE ROUGE - HÔTEL ROYAL;;222 23 49 11;697 55 15 56;;
ZONE 2;2.2C;GRANDE PHARMACIE DES LUMIERES;;ROND-POINT NLONGKAK;;222 20 58 55;;;
ZONE 3;3G;AUMACHA;;MIMBOMAN PETIT MARCHÉ, derriére SAPEUR;;680 82 25 57;657 65 34 20 /;;
ZONE 4;4A;SANTE;;face HÔPITAL DE LA CAISSE;;222 22 30 03 /;690 10 02 40;;
ZONE 4;4A;ATHERA;;TiTI GARAGE - Résidence VERTE;;620 26 13 34;650 62 05 05;;
ZONE 5;5C;EFOULAN;;à côté PALAIS CHARLES ATANGANA (EFOULAN);;242 06 74 26;;;
ZONE 6;6A;GRANDE PHARMACIE LYONNAISE;;BATA MOKOLO;;675 38 14 91;;;
ZONE 6;6A;OYOM ABANG;;PLACE DU MARCHE;;678 59 56 66;;;
ZONE 7;7A;7 COLLINES;;Immeuble FEUGUIF _   MINI FERME;;222 22 65 71;;;
ZONE 8;8.2E;SIMBA'A;;Montée JOUVENCE MENDONG;;222 31 48 62;656 19 41 52 /;;
ZONE 9;9G;UNIVERSELLE;;BIYEM-ASSI BISCUITERIE;;650 71 43 92;699 22 76 37;;
ZONE 10;10G;DIGNITE;;OLEMBE _ Entrée ECOLE;;651 53 12 83;697 68 26 88;243 07 48 07;
ZONE 11;11G;TONGOLO;;Carrefour CLUB YANNICK;;222 20 94 85;657 95 18 18 /;;
ZONE 12;12A;RELAIS DE NKOMO, le;;PAROISSE NKOAYOS;;222 30 79 13;;;
ZONE 12;12A;DEO GRACIAS;;Montée NKOMO MEATUR par BITENG;;655 14 45 04;;;
ZONE 13;13C;MESSAMENDONGO;;Carrefour MESSAMENDONGO;;222 30 55 30;242 10 76 94;;
ZONE 13;13C;SAINTE URIEL;;DERNIER POTEAU _ EKIE;;243 89 71 86;693 74 14 05;652 73 22 65;
Nombre de pharmacies :              17;;;;;;;;;
;;;PHARMACIES DE GARDE;;;;;;
Garde du :     Ven. 06 Mai 2022 à 8h - Sam. 07 Mai 2022 à 8h                                                                                                                          Semaine N° :   18;;;;;;;;;
Zone;GP;Pharmacie;;Localisation;;Téléphone 1;Téléphone 2;Téléphone 3;
ZONE 1;1E;20 MAI, du;;AVENUE DU 20 MAI;;222 23 92 88;699 71 25 53;;
ZONE 2;2.1C;ECOLE de POLICE;;ECOLE DE POLICE;;222 03 63 25;699 97 68 79 /;;
ZONE 3;3F;BALANCE, la;;CARREF.ANGUISSA;;222 23 70 74;;;
ZONE 4;4B;BON BERGER, le;;"NOUVELLE ROUTE OMNISPORTS - Rue
FOE";;242 60 67 77;6 99 98 51 68;691 24 86 07;
ZONE 4;4B;CHAPELLE, de la;;CHAPELLE NGOUSSO;;222 21 33 21;;;
ZONE 5;5F;OLEZOA;;MOBIL OLEZOA;;222 23 93 37;;;
ZONE 6;6F;KETCHY;;MADAGASCAR;;222 23 90 22;;;
ZONE 6;6F;ELOBI;;MOKOLO ELOBI;;222 20 41 37;;;
ZONE 7;7B;LAC, du;;MINISTERE de l'EQUIPEMENT;;222 22 20 80;;;
ZONE 8;8.1C;GET BETTER;;Carrefour du CENTRE DES HANDICAPES - ETOUG EBE;;655 33 16 36 /;;;
ZONE 9;9F;BEATITUDES, les;;Carrefour LYCEE DE BIYEM - ASSI;;242 03 75 82;677 96 21 16;;
ZONE 10;10F;CANA;;Carrefour JAMOT;;222 20 97 51;;;
ZONE 11;11F;PALAIS;;après la STATION TOTAL ETOUDI;;691 54 16 18;;;
ZONE 13;13D;MINDILI;;Carrefour de L'AMITIE;;222 30 22 80;;;
ZONE 13;13D;MATURITE;;NEPTUNE _ ODZA;;655 44 91 48;672 31 10 98;;
"Nombre de pharmacies :              15
Garde du :     Sam. 07 Mai 2022 à 8h - lun. 09 Mai 2022 à 8h                                                                                                                           Semaine N° :   18";;;;;;;;;
Zone;GP;Pharmacie;;Localisation;;Téléphone 1;Téléphone 2;Téléphone 3;
ZONE 1;1D;MFOUNDI, du;;Carrefour ELIG ESSONO;;222 23 78 88;;;
ZONE 2;2D;HORTENSIA, les;;POLYCLINIQUE TSINGA;;243 60 79 84;698 64 80 95;;
ZONE 2;2D;CRYSTALLIS, le;;Carrefour ETOA MEKI;;242 71 05 86;667 08 95 63;;
ZONE 2;2D;GOLF, du;;Carrefour GOLF;;692 33 47 46;;;
ZONE 3;3E;FLECHE, la;;MIMBOMAN TERMINUS;;222 23 05 48;;;
ZONE 4;4C;POPULAIRE;;A côté SUPERMARCHÉ DOVV ESSOS;;222 23 23 41;;;
ZONE 4;4C;REFERENCE, la;;TRANSFORMATEUR NGOUSSO;;242 04 25 96;652 62 36 72 /;;
ZONE 5;5E;MVOG ATANGANA MBALLA;;ENTREE M. MVOG-MBI;;222 30 67 85;;;
ZONE 6;6E;JOURDAIN, le;;Immeuble MACABO - NKOMKANA;;242 02 60 30;222 22 28 63;;
ZONE 6;6E;SOTOWNEK;;Carrefour MEEC, Nouvelle Route NKOLBISSON;;242 67 51 15;;;
ZONE 7;7C;CARREFOUR EMIA;;EMIA;;222 23 42 07;222 23 00 86 /;;
ZONE 8;8D;BIYEM-ASSI, de;;face NIKI;;222 31 71 93;676 11 37 86;;
ZONE 8;8D;GRACE, de la;;MENDONG - Quincaillerie de la PAIX;;242 04 15 61;;;
ZONE 9;9E;PRINCIPALE;;Entrée IRIC - Carrefour OBILI;;222 31 49 08;;;
ZONE 10;10E;OLEMBE;;face STATION PETROLEX, OLEMBE;;658 24 86 75;;;
ZONE 11;11E;NOBEL;;Carrefour ANCIEN 6ième ETOUDI;;690 30 18 18;;;
ZONE 12;12E;STATOISE;;DEUX CHEVEAUX - Entrée CENTRE HOSPITALIER NICOLAS BARRE;;222 30 05 55;659 17 65 04;;
ZONE 12;12E;SAINTE ELISABETH de NKOMO;;Carrefour NKOMO _ face BOULANGERIE FONTANA;;243 15 30 58;;;
ZONE 13;13E;CYGNE ODZA, le;;face TOTAL BORNE 10 - ODZA;;222 30 13 76;657 35 88 25;;
ZONE 13;13E;EKOUMDOUM;;HAPPY EKOUMDOUM;;650 85 30 31;620 02 44 92;;
Nombre de pharmacies :              20;;;;;;;;;
39 / 72;;;;;;;;;
Semaine N° :   19          Semaine :     Lun. 09 Mai 2022 - Dim. 15 Mai 2022;;;;;;;;;
Garde du :     Lun. 09 Mai 2022 à 8h - Mar. 10 Mai 2022 à 8h                                                                                                                           Semaine N° :   19;;;;;;;;;
Zone;GP;Pharmacie;;Localisation;;Téléphone 1;Téléphone 2;Téléphone 3;
ZONE 1;1G;MOISSON, de la;;POSTE CENTRALE;;222 23 16 19;;;
ZONE 2;2.3C;TSINGA, de;;face PMI TSINGA;;699 55 01 55;;;
ZONE 3;3K;BOTANIK;;SHAKESPEARE MIMBOMAN I;;694 73 54 60;;;
ZONE 4;4E;COLOMBE;;TEXACO OMNISPORT;;222 21 55 30;699 10 43 73;654 83 64 71;
ZONE 4;4E;LYCEE BILINGUE, du;;Carrefour HÔTEL DU PLATEAU;;222 22 98 37;242 72 22 03;;
ZONE 5;5K;NSAM EFOULAN;;Carrefour NSAM;;222 31 98 59;242 19 40 81;;
ZONE 6;6E;JOURDAIN, le;;Immeuble MACABO - NKOMKANA;;242 02 60 30;222 22 28 63;;
ZONE 6;6E;SOTOWNEK;;"Carrefour MEEC, Nouvelle Route
NKOLBISSON";;242 67 51 15;;;
ZONE 7;7K;SAINT ANDRÉ CHATEAU;;Montée PARC _ face MATGENIE NKOLBIKOK PARC;;671 93 66 78;655 56 54 81;;
ZONE 8;8.1F;JOUVENCE, de la;;Rond Point EXPRESS - BIYEM-ASSI;;222 31 72 24;;;
ZONE 9;9A;ACACIAS, des;;BIYEM-ASSI CENTRE;;699 61 96 54;;;
ZONE 10;10C;HERMES;;face BOULANGERIE NEZAFI _ EMANA;;243 64 11 81;677 98 70 76;664 46 07 46;
ZONE 11;11D;MANGUIERS, des;;Rue DES MANGUIERS;;242 06 04 09;;;
ZONE 12;12E;STATOISE;;DEUX CHEVEAUX - Entrée CENTRE HOSPITALIER NICOLAS BARRE;;222 30 05 55;659 17 65 04;;
ZONE 12;12E;SAINTE ELISABETH de NKOMO;;"Carrefour NKOMO _ face BOULANGERIE
FONTANA";;243 15 30 58;;;
ZONE 13;13A;ODZA, d';;Carrefour MBOG-ABANG;;691 86 77 72;;;
"Nombre de pharmacies :              16
Garde du :     Mar. 10 Mai 2022 à 8h - Mer. 11 Mai 2022 à 8h                                                                                                                           Semaine N° :   19";;;;;;;;;
Zone;GP;Pharmacie;;Localisation;;Téléphone 1;Téléphone 2;Téléphone 3;
ZONE 1;1F;PETALES, des;;vers LE CAPITOLE;;222 23 15 97;;;
ZONE 2;2.1A;ALLIANCE;;ECOLE PUBLIQUE DE BASTOS;;222 21 88 54;693 78 75 35;;
ZONE 3;3J;CHATEAU DE MIMBOMAN, du;;CHAPELLE D'EMOMBO;;242 06 22 98;;;
ZONE 4;4F;ELIG-EDZOA, d';;face CASSE ELIG EDZOA;;677 71 81 27;;;
ZONE 4;4F;STADE, du;;STADE OMNISPORT;;222 20 67 10;;;
ZONE 5;5J;ESSELE;;Carrefour DAMASE, face DEPÔT DE BOIS;;691 98 27 60;;;
ZONE 6;6D;MONGALE;;Carrefour CARRIERE;;653 04 36 36;658 73 35 75;;
ZONE 6;6D;GLOIRE;;300m après USINE DES EAUX, NKOLBISSON;;691 11 59 91;;;
ZONE 7;7L;VIE, de la;;face FOKOU MOKOLO;;222 22 67 87;;;
ZONE 8;8.1A;JERUSALEM;;Carrefour TKC - ETOUG-EBE;;222 31 01 09;698 29 47 88;;
ZONE 9;9J;VOLUNTAS DEI;;BIYEM-ASSI LAC;;675 77 46 65;673 23 13 54;;
ZONE 10;10B;CENTRE MESSASSI (Ydé), du;;Carrefour MESSASSI;;222 21 81 72;243 22 80 53;;
ZONE 11;11C;ETOUDI, d';;Face FOKOU ETOUDI;;242 03 50 51;;;
ZONE 12;12D;EKOUNOU;;LABOGENIE EKOUNOU;;222 30 67 78;;;
ZONE 12;12D;HELIANA'S PHY;;"ELDORADO NKOMO (face TOTAL
NKOMO)";;695 46 94 08;671 82 97 17;;
ZONE 13;13B;GOD'S GLORY PHARMACY Sarl;;Entrée KOWEIT CITY - ODZA;;242 15 89 55;243 23 05 31;;
ZONE 13;13B;MINKAN, de;;MINKAN entrée par Carrefour TERMINUS ODZA;;673 49 07 17;697 24 77 75;;
Garde du :     Mer. 11 Mai 2022 à 8h - Jeu. 12 Mai 2022 à 8h                                                                                                                           Semaine N° :   19;;;;;;;;;
Zone;GP;Pharmacie;;Localisation;;Téléphone 1;Téléphone 2;Téléphone 3;
ZONE 1;1J;INTENDANCE, de l';;Carrefour INTENDANCE;;222 22 46 94;;;
ZONE 2;2.3A;PROVINCIALE;;NLONGKAK PREFECTURE;;222 20 94 93;6 96 31 65 86 /;;
ZONE 3;3I;GENEVOISE;;Nvlle Rte MIMBOMAN, Carrefour MVOG-ENYEGUE;;679 69 27 80;657 83 10 64;;
ZONE 4;4A;SANTE;;face HÔPITAL DE LA CAISSE;;222 22 30 03 /;690 10 02 40;;
ZONE 4;4A;ATHERA;;TiTI GARAGE - Résidence VERTE;;620 26 13 34;650 62 05 05;;
ZONE 5;5I;CAPUCINES, des;;SIANTOU SUPERIEUR;;242 66 63 05;;;
ZONE 6;6C;PROVIDENCE, de la;;SAPEUR POMPIER MOKOLO;;222 23 11 54;;;
ZONE 6;6C;CYPRES, du;;2ième Carrefour NKOLBISSON;;242 06 47 59;;;
ZONE 7;7A;7 COLLINES;;Immeuble FEUGUIF _   MINI FERME;;222 22 65 71;;;
ZONE 8;8.1B;TERANGA, la;;à 100m SUPERMARCHE DOVV MENDONG;;698 83 22 97;;;
ZONE 9;9I;MELEN 8;;Carrefour BIYEM-ASSI;;222 31 68 63;242 08 31 89;;
ZONE 10;10A;BRUXELLOISE;;après la station TRADEX EMANA;;242 17 38 63;651 30 10 53;;
ZONE 11;11B;BLEUE PLUS;;face HOPITAL GENERAL;;222 21 14 92;;;
ZONE 12;12C;THERIAQUE;;"A côté SOUS-PREFECTURE
NKONDENGUI";;222 30 63 25;679 68 05 11;;
ZONE 12;12C;SANTE & VIE;;face GP BITENG;;682 24 74 78;;;
ZONE 13;13C;MESSAMENDONGO;;Carrefour MESSAMENDONGO;;222 30 55 30;242 10 76 94;;
ZONE 13;13C;SAINTE URIEL;;DERNIER POTEAU _ EKIE;;243 89 71 86;693 74 14 05;652 73 22 65;
"Nombre de pharmacies :              17
Garde du :     Jeu. 12 Mai 2022 à 8h - Ven. 13 Mai 2022 à 8h                                                                                                                           Semaine N° :   19";;;;;;;;;
Zone;GP;Pharmacie;;Localisation;;Téléphone 1;Téléphone 2;Téléphone 3;
ZONE 1;1H;SAINT MARTIN;;A COTE KATIOS;;222 23 18 69;;;
ZONE 2;2.2A;NOTRE DAME;;"TSINGA SS PREFECTURE YAOUNDE
2ième";;242 08 37 52;;;
ZONE 3;3H;ARCHE, de l';;Descente PAQUITA, vers CORNIER;;243 68 29 85;;;
ZONE 4;4B;BON BERGER, le;;NOUVELLE ROUTE OMNISPORTS - Rue FOE;;242 60 67 77;6 99 98 51 68;691 24 86 07;
ZONE 4;4B;CHAPELLE, de la;;CHAPELLE NGOUSSO;;222 21 33 21;;;
ZONE 5;5H;SIFA;;face CHAPELLE MVOG-MBI;;691 80 47 28;675 67 56 10;;
ZONE 6;6B;MOLIVA;;MOBIL (OIL LYBIA) MADAGASCAR;;222 23 00 82;;;
ZONE 6;6B;BLED, du;;Carrefour CARAMBA - NKOLBISSON;;674 43 15 22;;;
ZONE 7;7B;LAC, du;;MINISTERE de l'EQUIPEMENT;;222 22 20 80;;;
ZONE 8;8.2F;BEATO MEMASO;;Lycée d'ETOUG-EBE _ Montée SCIENCE;;222 31 57 52;;;
ZONE 9;9H;NSIMEYONG;;Chapelle NSIMEYONG;;222 31 42 61;694 01 12 46;;
ZONE 10;10H;EMANA, d';;face SUPER MARCHE SOCROPOLE - EMANA;;222 21 42 94;;;
ZONE 11;11A;BAYARD;;FABRIQUE NGOUSSO;;670 11 54 36;;;
ZONE 12;12B;PERSEVERANCE, la;;AWAE ESCALIER;;243 84 41 35;243 84 67 75;;
ZONE 12;12B;SAINT VICTOR ESSOMBA;;MOSQUEE ESSOMBA;;672 87 87 33;;;
ZONE 13;13D;MINDILI;;Carrefour de L'AMITIE;;222 30 22 80;;;
ZONE 13;13D;MATURITE;;NEPTUNE _ ODZA;;655 44 91 48;672 31 10 98;;
Garde du :     Ven. 13 Mai 2022 à 8h - Sam. 14 Mai 2022 à 8h                                                                                                                          Semaine N° :   19;;;;;;;;;
Zone;GP;Pharmacie;;Localisation;;Téléphone 1;Téléphone 2;Téléphone 3;
ZONE 1;1L;CAMEROUNAISE;;CATHEDRALE YAOUNDE;;242 00 11 33;;;
ZONE 2;2.1B;2000;;NOUVLLE ROUTE BASTOS;;222 23 95 94;;;
ZONE 3;3G;AUMACHA;;MIMBOMAN PETIT MARCHÉ, derriére SAPEUR;;680 82 25 57;657 65 34 20 /;;
ZONE 4;4C;POPULAIRE;;A côté SUPERMARCHÉ DOVV ESSOS;;222 23 23 41;;;
ZONE 4;4C;REFERENCE, la;;TRANSFORMATEUR NGOUSSO;;242 04 25 96;652 62 36 72 /;;
ZONE 5;5E;MVOG ATANGANA MBALLA;;ENTREE M. MVOG-MBI;;222 30 67 85;;;
ZONE 6;6A;GRANDE PHARMACIE LYONNAISE;;BATA MOKOLO;;675 38 14 91;;;
ZONE 6;6A;OYOM ABANG;;PLACE DU MARCHE;;678 59 56 66;;;
ZONE 7;7C;CARREFOUR EMIA;;EMIA;;222 23 42 07;222 23 00 86 /;;
ZONE 8;8.1D;GRACE, de la;;MENDONG - Quincaillerie de la PAIX;;242 04 15 61;;;
ZONE 9;9G;UNIVERSELLE;;BIYEM-ASSI BISCUITERIE;;650 71 43 92;699 22 76 37;;
ZONE 10;10G;DIGNITE;;OLEMBE _ Entrée ECOLE;;651 53 12 83;697 68 26 88;243 07 48 07;
ZONE 11;11G;TONGOLO;;Carrefour CLUB YANNICK;;222 20 94 85;657 95 18 18 /;;
ZONE 12;12A;RELAIS DE NKOMO, le;;PAROISSE NKOAYOS;;222 30 79 13;;;
ZONE 12;12A;DEO GRACIAS;;Montée NKOMO MEATUR par BITENG;;655 14 45 04;;;
ZONE 13;13E;CYGNE ODZA, le;;face TOTAL BORNE 10 - ODZA;;222 30 13 76;657 35 88 25;;
ZONE 13;13E;EKOUMDOUM;;HAPPY EKOUMDOUM;;650 85 30 31;620 02 44 92;;
"Nombre de pharmacies :              17
Garde du :     Sam. 14 Mai 2022 à 8h - lun. 16 Mai 2022 à 8h                                                                                                                           Semaine N° :   19";;;;;;;;;
Zone;GP;Pharmacie;;Localisation;;Téléphone 1;Téléphone 2;Téléphone 3;
ZONE 1;1K;SOLEIL, du;;CINEMA ABBIA;;222 22 14 23;;;
ZONE 2;2E;BRIQUE, de la;;HÔTEL AURORE;;222 20 15 37;;;
ZONE 2;2E;CONGRES, des;;Nvlle Rte Bastos en face de TCHOP & YAMO;;242 17 49 48;696 51 90 42;;
ZONE 2;2E;K'FOUR MOTO GEORGES;;MOTO GEORGES;;242 19 28 27;698 01 05 19;;
ZONE 3;3F;BALANCE, la;;CARREF.ANGUISSA;;222 23 70 74;;;
ZONE 4;4D;CITE, de la;;TITI GARAGE - A COTE DU QUEBEC;;222 21 83 16;675 55 87 87;;
ZONE 4;4D;ROSEE, la;;Carrefour TRADEX ELEVEURS;;242 15 60 16;;;
ZONE 5;5F;OLEZOA;;MOBIL OLEZOA;;222 23 93 37;;;
ZONE 6;6F;KETCHY;;MADAGASCAR;;222 23 90 22;;;
ZONE 6;6F;ELOBI;;MOKOLO ELOBI;;222 20 41 37;;;
ZONE 7;7D;FIDELITE, de la;;Entrée CAMP YEYAP _ MESSA;;242 00 69 55;;;
ZONE 8;8E;SIMBA'A;;Montée JOUVENCE MENDONG;;222 31 48 62;656 19 41 52 /;;
ZONE 8;8E;ETOILE, de l';;Montée MAISONS BLANCHES;;655 14 56 59;222 31 49 62;;
ZONE 9;9F;BEATITUDES, les;;Carrefour LYCEE DE BIYEM - ASSI;;242 03 75 82;677 96 21 16;;
ZONE 10;10F;CANA;;Carrefour JAMOT;;222 20 97 51;;;
ZONE 11;11F;PALAIS;;après la STATION TOTAL ETOUDI;;691 54 16 18;;;
ZONE 13;13A;ODZA, d';;Carrefour MBOG-ABANG;;691 86 77 72;;;
Semaine N° :   20          Semaine :     Lun. 16 Mai 2022 - Dim. 22 Mai 2022;;;;;;;;;
Garde du :     Lun. 16 Mai 2022 à 8h - Mar. 17 Mai 2022 à 8h                                                                                                                           Semaine N° :   20;;;;;;;;;
Zone;GP;Pharmacie;;Localisation;;Téléphone 1;Téléphone 2;Téléphone 3;
